Trace
Swept SA
A.08.55,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,0.0102
Start Frequency,495000000
Stop Frequency,505000000
Average Count,0
Average Type,Power(RMS)
RBW,100000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
495000000,-88.9515111391571
495010000,-89.0772269615526
495020000,-89.0578855135774
495030000,-89.208556435439
495040000,-89.0337958769614
495050000,-88.7630201316144
495060000,-89.3680374676158
495070000,-89.6015146086056
495080000,-88.8919243091664
495090000,-88.7955198156201
495100000,-89.3481341942368
495110000,-89.4817767239681
495120000,-89.4567138912554
495130000,-89.6952717688537
495140000,-89.0101682000358
495150000,-88.7925967258281
495160000,-89.2948657782891
495170000,-89.1369216366154
495180000,-88.6732116635918
495190000,-89.1774114178225
495200000,-88.7505437802522
495210000,-88.8774572238852
495220000,-89.4840107610368
495230000,-89.063066362023
495240000,-88.8421827095537
495250000,-88.9456514925028
495260000,-88.7481251261782
495270000,-89.1213996202983
495280000,-89.5033172921067
495290000,-89.405536219502
495300000,-89.3819357639759
495310000,-89.290812775986
495320000,-88.8930961223831
495330000,-89.3460801938162
495340000,-88.6046250500238
495350000,-88.6654135114201
495360000,-88.9677902740787
495370000,-89.0948367817226
495380000,-89.0337798943779
495390000,-89.3835679759831
495400000,-89.4593415382242
495410000,-89.0038883409243
495420000,-89.1824798037611
495430000,-88.9677007082571
495440000,-89.0268960952451
495450000,-88.956130046318
495460000,-89.2296226856639
495470000,-89.5449582754594
495480000,-89.2125089609066
495490000,-89.1664578884753
495500000,-89.142100130556
495510000,-89.1675857221923
495520000,-89.4090141658424
495530000,-89.4540973240239
495540000,-88.5717962673402
495550000,-88.8315073171533
495560000,-89.3025484254814
495570000,-88.9859496892491
495580000,-89.4838471348753
495590000,-89.1464827005633
495600000,-88.463153247724
495610000,-88.8283274023784
495620000,-89.2582512831851
495630000,-89.1316885545801
495640000,-89.9813943024557
495650000,-89.1409924427024
495660000,-89.2690583469054
495670000,-89.6217260106941
495680000,-89.0568088514792
495690000,-88.7842913098075
495700000,-88.8878874882477
495710000,-89.152778157387
495720000,-88.9003637809032
495730000,-88.876715538006
495740000,-89.3848605161674
495750000,-89.1268020933679
495760000,-89.5792859059137
495770000,-89.6952199886234
495780000,-89.5470903352011
495790000,-89.3399303651372
495800000,-88.9910714735305
495810000,-88.9505835940259
495820000,-88.985929714021
495830000,-88.6950989479912
495840000,-89.3449640108086
495850000,-89.3336918243457
495860000,-89.5305244926202
495870000,-89.4831505502608
495880000,-89.6827461465291
495890000,-89.7805653844017
495900000,-89.3031170532933
495910000,-89.4651169394167
495920000,-89.3292100322087
495930000,-89.7885373354217
495940000,-88.4214636980231
495950000,-88.7008270215253
495960000,-89.2665507415044
495970000,-88.9166329353996
495980000,-89.2720025903424
495990000,-88.7335722701248
496000000,-89.0423701113699
496010000,-89.2887371652066
496020000,-89.2139632966221
496030000,-89.0218758795539
496040000,-88.9584748059674
496050000,-89.1250676990263
496060000,-89.1841334502859
496070000,-89.4841811300606
496080000,-88.925452533296
496090000,-89.2865168102359
496100000,-88.7827217530503
496110000,-88.8278286261497
496120000,-88.8219644587514
496130000,-89.014048456498
496140000,-88.7944224311118
496150000,-89.054525182888
496160000,-88.7944403673035
496170000,-89.2158626817125
496180000,-89.1428052842914
496190000,-88.9865539714284
496200000,-89.2790671465664
496210000,-89.2742452867015
496220000,-89.4844864182986
496230000,-89.1931234454528
496240000,-88.4888101250893
496250000,-88.8324424711358
496260000,-88.7962006158345
496270000,-89.6027700158457
496280000,-89.1123120070213
496290000,-89.0700665591881
496300000,-89.2843281932741
496310000,-89.3365161829171
496320000,-89.0789001225277
496330000,-89.6427467630132
496340000,-89.5315741021258
496350000,-89.4997121838269
496360000,-89.2287112699591
496370000,-89.0799999564212
496380000,-89.5498201336542
496390000,-89.2283932957923
496400000,-89.055862715732
496410000,-89.1223652515081
496420000,-89.7734043658439
496430000,-88.3917536515609
496440000,-89.4997369356106
496450000,-89.6160921513885
496460000,-89.470082466426
496470000,-89.2584002889966
496480000,-89.2695261606744
496490000,-89.2207887565644
496500000,-89.3077510386314
496510000,-88.7229224376534
496520000,-89.0914937563159
496530000,-88.8612122802437
496540000,-89.0550450985881
496550000,-88.5017046926548
496560000,-89.143703796571
496570000,-89.1094842310902
496580000,-88.913846083556
496590000,-88.5917824971266
496600000,-89.4832310114132
496610000,-88.5816183761874
496620000,-88.9627098942569
496630000,-89.1447409114228
496640000,-89.0813840361392
496650000,-88.892649542867
496660000,-88.802649331692
496670000,-89.4792168895306
496680000,-89.1722782334776
