Trace
Swept SA
A.08.55,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,0.001
Start Frequency,490000000
Stop Frequency,510000000
Average Count,0
Average Type,Power(RMS)
RBW,1000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,100000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
490000000,-79.4395792948227
490020000,-79.1365378922891
490040000,-78.8528377941172
490060000,-79.0914624642955
490080000,-79.0776357534626
490100000,-79.0816472730307
490120000,-79.6155420662142
490140000,-79.5066008267302
490160000,-78.9487743698258
490180000,-79.0420751140598
490200000,-78.9627138317172
490220000,-78.914808528831
490240000,-79.3514743795263
490260000,-79.5109264186797
490280000,-79.0405566193399
490300000,-78.8772457430463
490320000,-79.0025689659166
490340000,-78.651273856223
490360000,-78.9440831136751
490380000,-79.1443573914009
490400000,-78.8417577071059
490420000,-78.150078312085
490440000,-78.9747849467125
490460000,-79.2904676692433
490480000,-79.2148585874856
490500000,-79.2539036252932
490520000,-79.5277453849727
490540000,-79.4227618509032
490560000,-78.915229349081
490580000,-78.5920281145199
490600000,-79.6016662201428
490620000,-79.9099293982124
490640000,-79.2727602581117
490660000,-78.8669967362773
490680000,-78.5760157521176
490700000,-78.7069625359952
490720000,-78.6480241126927
490740000,-79.2176891123278
490760000,-79.0581165043059
490780000,-78.7364053811218
490800000,-78.5340814894114
490820000,-78.7182029299369
490840000,-78.9787264245764
490860000,-79.3926695692021
490880000,-78.9580448129004
490900000,-78.8289803245378
490920000,-78.9144626758822
490940000,-78.6437589656444
490960000,-79.1333381558794
490980000,-78.9215499162673
491000000,-78.9405318068608
491020000,-78.9698720662136
491040000,-79.152517926939
491060000,-79.3913395912443
491080000,-78.8773049272247
491100000,-78.9015053351152
491120000,-78.8297658321237
491140000,-79.0262880346244
491160000,-79.0804275845515
491180000,-78.7586984994036
491200000,-79.1670890018578
491220000,-78.8678059560099
491240000,-78.5260261272812
491260000,-78.7400792047624
491280000,-78.7788765114418
491300000,-78.9883844448335
491320000,-78.7446869199363
491340000,-78.4210103980485
491360000,-78.8874263953841
491380000,-79.187293141388
491400000,-78.6012813822343
491420000,-78.4097175262066
491440000,-78.980069431968
491460000,-79.0207259792431
491480000,-78.9990776177527
491500000,-79.2509337105267
491520000,-79.1311257607905
491540000,-78.7072423510096
491560000,-78.7023488506105
491580000,-79.2524503722757
491600000,-78.8435615404638
491620000,-78.8870898746605
491640000,-78.830796158753
491660000,-78.379927887328
491680000,-78.9799125458946
491700000,-79.0775034298599
491720000,-78.8660521705812
491740000,-78.805872473869
491760000,-79.2509485300256
491780000,-78.3535185555195
491800000,-79.0982358688283
491820000,-79.3095444414406
491840000,-79.3259501178437
491860000,-79.2133373237876
491880000,-78.8302048195734
491900000,-79.2083018394017
491920000,-78.6616850882103
491940000,-78.7005865751584
491960000,-79.1602373711377
491980000,-78.976383599242
492000000,-79.2126744500524
492020000,-79.2868291308728
492040000,-79.066843254471
492060000,-78.2370189229155
492080000,-78.8376478809708
492100000,-79.5790008654002
492120000,-79.2422036630011
492140000,-78.8307599953301
492160000,-78.4397741687144
492180000,-79.0294581893398
492200000,-78.6334652656102
492220000,-79.2560049759792
492240000,-79.4693196156609
492260000,-78.5876991069415
492280000,-78.660001092935
492300000,-78.807288450653
492320000,-78.9404602441496
492340000,-79.1983439813103
492360000,-78.8176779359984
492380000,-78.8562856115684
492400000,-79.0543545998541
492420000,-78.6969996430613
492440000,-79.0803920680926
492460000,-78.7632618661578
492480000,-78.7703479327156
492500000,-78.9397449784958
492520000,-78.9081416597618
492540000,-78.8999508182304
492560000,-78.9058794256191
492580000,-78.8703414284856
492600000,-78.7460191635206
492620000,-78.7290976111477
492640000,-78.9432332271654
492660000,-78.799446173575
492680000,-78.8724667790544
492700000,-78.8707022441346
492720000,-79.59804915909
492740000,-78.7667372273385
492760000,-78.6752187663878
492780000,-79.1489849527182
492800000,-78.7242887844543
492820000,-79.2522815258069
492840000,-79.1743122708463
492860000,-79.0453429393375
492880000,-79.4731595216833
492900000,-79.1350002614419
492920000,-78.9340736696472
492940000,-79.0943403694724
492960000,-78.9068902387841
492980000,-79.1220331953063
493000000,-79.0358770830362
493020000,-78.7090678369757
493040000,-79.1703582005662
493060000,-78.9738452105973
493080000,-79.2487426772251
493100000,-78.7295382843242
493120000,-78.9546769104023
493140000,-78.4260001577723
493160000,-78.8091582409536
493180000,-78.9848941930631
493200000,-78.9157566130262
493220000,-78.8174382287138
493240000,-78.9928948909126
493260000,-79.0624606929254
493280000,-79.3765189566773
493300000,-79.2309072841488
493320000,-78.7919299837462
493340000,-78.9367416499775
493360000,-79.0834239941272
