Trace
Swept SA
A.08.55,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,0.4054666666
Start Frequency,498000000
Stop Frequency,502000000
Average Count,0
Average Type,Power(RMS)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,1000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
498000000,-99.3892550168025
498004000,-99.5007073593548
498008000,-99.1886852291933
498012000,-99.135421110043
498016000,-99.3546635909942
498020000,-99.4888743696803
498024000,-99.9234560123069
498028000,-99.0293253331523
498032000,-99.2435241693003
498036000,-98.9348736225486
498040000,-99.3650668365632
498044000,-99.2250317651163
498048000,-99.5568415255548
498052000,-99.6387269863129
498056000,-99.1665483845711
498060000,-99.1131223760256
498064000,-99.4394908349865
498068000,-99.2310336150085
498072000,-99.1217993647241
498076000,-99.7876906544439
498080000,-98.8592014231333
498084000,-98.7535846782038
498088000,-99.2483926332203
498092000,-99.794101610555
498096000,-99.3950281800324
498100000,-99.2203869495674
498104000,-99.5102924613578
498108000,-99.2759690143802
498112000,-99.2570727111313
498116000,-99.5744744606632
498120000,-99.1580492771516
498124000,-99.2167904126131
498128000,-99.5605785245482
498132000,-99.6559690747532
498136000,-99.3950644835485
498140000,-99.3313149725877
498144000,-99.5929764357202
498148000,-99.2819621606973
498152000,-99.7145094557229
498156000,-99.6385576654986
498160000,-99.4192656012537
498164000,-99.1132221167424
498168000,-98.8057230119334
498172000,-99.3528568808943
498176000,-99.1883624083584
498180000,-99.2477962672894
498184000,-99.0280474498307
498188000,-99.3884559063614
498192000,-99.3877223690171
498196000,-99.2137868189229
498200000,-99.4666253443957
498204000,-99.2716789901624
498208000,-99.0491539486341
498212000,-98.3696035163158
498216000,-99.4910711758592
498220000,-99.2853998641837
498224000,-99.4153807708749
498228000,-99.6699221892396
498232000,-99.1584233448198
498236000,-99.5577599198162
498240000,-99.9489997567398
498244000,-99.4015626269374
498248000,-99.0520700283392
498252000,-98.9239994639902
498256000,-99.4305772666695
498260000,-99.2626372053101
498264000,-99.3978351131605
498268000,-99.641032628556
498272000,-99.212712788788
498276000,-98.9306674399585
498280000,-99.536685271639
498284000,-98.899869938551
498288000,-99.0939756295683
498292000,-99.3726821893728
498296000,-99.2657335516849
498300000,-99.4266563141025
498304000,-99.4697498093702
498308000,-99.3417213312581
498312000,-99.0930521598698
498316000,-99.1217715362873
498320000,-98.9944728647127
498324000,-99.3587464921973
498328000,-99.4166962230433
498332000,-98.7566582031579
498336000,-99.2950200040174
498340000,-98.9478937340059
498344000,-99.3785537245256
498348000,-99.0325286900626
498352000,-98.9250966168832
498356000,-99.5872956991631
498360000,-99.6306952990794
498364000,-99.1190658752938
498368000,-99.7359264950002
498372000,-99.0414334517962
498376000,-98.9913058133983
498380000,-99.3872206972826
498384000,-99.253122514143
498388000,-99.1879983983925
498392000,-98.592150662348
498396000,-99.2376676015549
498400000,-99.0392543128107
498404000,-99.1666711658728
498408000,-99.6109833547358
498412000,-99.0089358095678
498416000,-99.2447913420969
498420000,-99.6763470712337
498424000,-99.4059687259786
498428000,-99.7736228674823
498432000,-99.4177047396085
498436000,-99.2854154371114
498440000,-99.6769843983621
498444000,-99.3194318304889
498448000,-99.129144396671
498452000,-99.5069088454203
498456000,-99.9903452228887
498460000,-98.9160028303171
498464000,-99.1056448873102
498468000,-99.734970781838
498472000,-99.3852350937192
498476000,-99.6690824126722
498480000,-98.9312406948753
498484000,-99.3100880051124
498488000,-99.0671302117602
498492000,-99.27026691519
498496000,-99.2989113235045
498500000,-98.9790239404079
498504000,-99.4205728499836
498508000,-99.12222650033
498512000,-99.4718920272227
498516000,-99.1653055345038
498520000,-99.3388639719811
498524000,-99.3101821594743
498528000,-99.3227861888061
498532000,-99.273771451602
498536000,-99.3345813877622
498540000,-98.9369573515558
498544000,-98.9015450441431
498548000,-99.4012037425475
498552000,-99.2659676577969
498556000,-99.4562482925768
498560000,-99.151033284226
498564000,-99.4507078545923
498568000,-98.9649350816946
498572000,-99.0128212084304
498576000,-99.3777625526663
498580000,-99.2953114525624
498584000,-98.7768211911775
498588000,-99.3990699479998
498592000,-98.9902778111532
498596000,-99.4509659868274
498600000,-99.3346057908437
498604000,-99.1589837588396
498608000,-99.5248676064091
498612000,-99.1684066351901
498616000,-99.0764392576082
498620000,-99.2416294574137
498624000,-99.3793663489495
498628000,-99.1373875331826
498632000,-99.1231766090199
498636000,-99.4914190413422
498640000,-99.2427566911223
498644000,-99.2928619166465
498648000,-99.104968420092
498652000,-98.9952957066272
498656000,-98.9304482268273
498660000,-99.1247786606342
498664000,-98.7500172549175
498668000,-99.801309268839
498672000,-99.659877374978
